{3}	{8,2,16}	5.80	19.33
{2}	{8,3,16}	5.80	21.97
{16}	{8,3,2}	5.80	13.68
{8}	{3,2,16}	5.80	12.83
{3,2}	{8,16}	5.80	80.56
{3,16}	{8,2}	5.80	23.02
{8,3}	{2,16}	5.80	22.48
{2,16}	{8,3}	5.80	42.65
{8,2}	{3,16}	5.80	43.28
{8,16}	{3,2}	5.80	19.21
{3,2,16}	{8}	5.80	90.62
{8,3,2}	{16}	5.80	93.55
{8,3,16}	{2}	5.80	24.17
{8,2,16}	{3}	5.80	67.44
{3}	{8,5,16}	6.60	22.00
{5}	{8,3,16}	6.60	26.19
{16}	{8,3,5}	6.60	15.57
{8}	{3,5,16}	6.60	14.60
{3,5}	{8,16}	6.60	84.62
{3,16}	{8,5}	6.60	26.19
{8,3}	{5,16}	6.60	25.58
{5,16}	{8,3}	6.60	54.10
{8,5}	{3,16}	6.60	52.38
{8,16}	{3,5}	6.60	21.85
{3,5,16}	{8}	6.60	94.29
{8,3,5}	{16}	6.60	97.06
{8,3,16}	{5}	6.60	27.50
{8,5,16}	{3}	6.60	71.74
{3}	{8,4,16}	6.20	20.67
{4}	{8,3,16}	6.20	25.20
{16}	{8,3,4}	6.20	14.62
{8}	{3,4,16}	6.20	13.72
{3,4}	{8,16}	6.20	73.81
{3,16}	{8,4}	6.20	24.60
{8,3}	{4,16}	6.20	24.03
{4,16}	{8,3}	6.20	58.49
{8,4}	{3,16}	6.20	52.54
{8,16}	{3,4}	6.20	20.53
{3,4,16}	{8}	6.20	100.00
{8,3,4}	{16}	6.20	83.78
{8,3,16}	{4}	6.20	25.83
{8,4,16}	{3}	6.20	86.11
{3}	{8,7,16}	6.20	20.67
{7}	{8,3,16}	6.20	25.83
{16}	{8,3,7}	6.20	14.62
{8}	{3,7,16}	6.20	13.72
{3,7}	{8,16}	6.20	83.78
{3,16}	{8,7}	6.20	24.60
{8,3}	{7,16}	6.20	24.03
{7,16}	{8,3}	6.20	63.27
{8,7}	{3,16}	6.20	53.45
{8,16}	{3,7}	6.20	20.53
{3,7,16}	{8}	6.20	96.88
{8,3,7}	{16}	6.20	93.94
{8,3,16}	{7}	6.20	25.83
{8,7,16}	{3}	6.20	83.78
